family,suffix,feature,n,n_tickers,ic21,ic63,ic126,median_per_ticker_ic21,same_sign_share,abs21,abs63,abs126,multi_horizon_avg,quality
f07_utility_efficiency,2nd_derivatives_001_150,f07uef_f07_utility_efficiency_effsc_21d_slope_pct_w21_s0_slope_v148_signal,114542,19,0.0068336991916433,0.0156662570761009,0.0414756986204134,0.0092390664591332,0.5789473684210527,0.0068336991916433,0.0156662570761009,0.0414756986204134,0.021325218296052533,0.014248164417087044
f03_utility_capex_intensity,2nd_derivatives_001_150,f03uci_f03_utility_capex_intensity_intenslog_252d_slope_v066_signal,121831,19,-0.0041543285369695,-0.0187821030455253,-0.0427228280514945,0.0073008925897204,0.4736842105263157,0.0041543285369695,0.0187821030455253,0.0427228280514945,0.021886419877996433,0.013999962511164765
f46_quiet_utility_compounder,base_001_075,f46quc_f46_quiet_utility_compounder_sg_eps_42d_s00_base_v025_signal,93274,19,-0.0173114270631967,-0.0027091197038012,-0.031324788656768,-0.0107564608835874,0.5789473684210527,0.0173114270631967,0.0027091197038012,0.031324788656768,0.017115111807921968,0.013939385806211848
f46_quiet_utility_compounder,base_001_075,f46quc_f46_quiet_utility_compounder_sg_eps_42d_s00_base_v025_signal,93274,19,-0.0173114270631967,-0.0027091197038012,-0.031324788656768,-0.0107564608835874,0.5789473684210527,0.0173114270631967,0.0027091197038012,0.031324788656768,0.017115111807921968,0.013939385806211848
f48_utility_regime_bottom,2nd_derivatives_001_150,f48urb_f48_utility_regime_bottom_mb_marg_63d_s00_sw21_slope_v040_signal,57497,19,0.0157573384259848,-0.0149674954329579,-0.0100934007305811,0.0148350551494159,0.6842105263157895,0.0157573384259848,0.0149674954329579,0.0100934007305811,0.013606078196507934,0.013924394632535315
f25_transmission_capital_efficiency,base_001_075,f25tce_f25_transmission_capital_efficiency_revenue_per_asset_63p105s_z_w_base_v057_signal,121822,19,-0.0024366574103263,-0.0245122118282605,-0.0359555059145066,-0.0063939281839116,0.5263157894736842,0.0024366574103263,0.0245122118282605,0.0359555059145066,0.02096812505103113,0.013914020090073578
f30_wholesale_power_growth,2nd_derivatives_001_150,f30wpg_f30_wholesale_power_growth_rally_signature_252d_t21s3d63_slope_v138_signal,48881,19,0.0127879495017342,-0.0166336800143197,-0.016583163322176,0.0126894773785461,0.6842105263157895,0.0127879495017342,0.0166336800143197,0.016583163322176,0.015334930946076632,0.013905205752178181
f26_ipp_revenue_volatility,2nd_derivatives_001_150,f26irv_f26_ipp_revenue_volatility_volatility_score_126d_t21s4d21_slope_v128_signal,121831,19,-0.0154889018699969,0.0102950064644054,0.0216406043866021,-0.0237188255229682,0.5789473684210527,0.0154889018699969,0.0102950064644054,0.0216406043866021,0.015808170907001467,0.01387524219191569
f46_quiet_utility_compounder,2nd_derivatives_001_150,f46quc_f46_quiet_utility_compounder_sg_netinc_42d_s00_sw21_slope_v067_signal,75669,19,-0.0082086247665827,0.0225539845347138,0.0200436137555078,-0.0314674997712051,0.631578947368421,0.0082086247665827,0.0225539845347138,0.0200436137555078,0.016935407685601433,0.013833846518786488
f43_renewable_capital_efficiency,3rd_derivatives_001_150,f43rce_f43_renewable_capital_efficiency_atostdxcr6321d_jerk_v063_signal,121747,19,0.0002075441618437,-0.0321990570577041,-0.0269098088732566,-0.0047360149248049,0.4210526315789473,0.0002075441618437,0.0321990570577041,0.0269098088732566,0.01977213669760147,0.01379231416536417
f28_power_pricing_dynamics,base_076_150,f28ppd_f28_power_pricing_dynamics_pricing_dynamics_504d_t5s5i21_base_v139_signal,120898,19,-0.0070929501958335,-0.0222995171917413,-0.0248674433786976,0.011880924667778,0.4736842105263157,0.0070929501958335,0.0222995171917413,0.0248674433786976,0.0180866369220908,0.01376112451973281
f22_grid_revenue_growth,base_001_075,f22grg_f22_grid_revenue_growth_revenue_growth_5p14s_z_w_base_v053_signal,34844,19,0.0084220016722747,0.0156980171088921,0.0314899464458821,0.015988676873485,0.6842105263157895,0.0084220016722747,0.0156980171088921,0.0314899464458821,0.018536655075682966,0.013666061097982754
f42_utility_fcf_yield,2nd_derivatives_001_150,f42ufy_f42_utility_fcf_yield_yldemaxcm6321d_slope_v105_signal,121831,19,0.0117085561176726,0.0047069907957398,0.0402398048616825,0.0183812583332944,0.7368421052631579,0.0117085561176726,0.0047069907957398,0.0402398048616825,0.018885117258364965,0.013425593985944012
f33_clean_energy_winter,base_001_075,f33cew_f33_clean_energy_winter_p0_xclsma63_21d_base_v025_signal,122447,19,-0.0187228464863108,0.00369130446917,-0.0193763918911166,-0.0204809894697084,0.6842105263157895,0.0187228464863108,0.00369130446917,0.0193763918911166,0.0139301809488658,0.013424544016222076
f21_grid_capex_cycle,2nd_derivatives_001_150,f21gcc_f21_grid_capex_cycle_capex_intensity_63p315s_slope_pct_std_slope_v139_signal,121831,19,0.013696499815429,0.0163674393044585,0.009873949828404,0.0152994473169046,0.7368421052631579,0.013696499815429,0.0163674393044585,0.009873949828404,0.0133126296494305,0.013383747855580323
f41_utility_roic_stability,3rd_derivatives_001_150,f41urs_f41_utility_roic_stability_stabemaxlc42d_jerk_v094_signal,121831,19,0.0024672695534092,0.0295489999296359,0.0220843962593843,-0.0040780270094245,0.4736842105263157,0.0024672695534092,0.0295489999296359,0.0220843962593843,0.018033555247476466,0.013339573233746432
f04_utility_dividend_growth,2nd_derivatives_001_150,f04udg_f04_utility_dividend_growth_dpsgrowth_21d_slope_v001_signal,28687,19,-0.0098218744755974,-0.0224785189861381,-0.0100411934772441,-0.0078269220257998,0.7368421052631579,0.0098218744755974,0.0224785189861381,0.0100411934772441,0.0141138623129932,0.013264060107601455
