family,suffix,feature,n,ic21,ic63
f11_restaurant_unit_economics,2nd_derivatives_001_150,f11rue_f11_restaurant_unit_economics_rpa_w42_63d_slope_v020_signal,70390,-0.03393220969446311,-0.06229658041131466
f11_restaurant_unit_economics,3rd_derivatives_001_150,f11rue_f11_restaurant_unit_economics_ues_w378_21d_jerk_v143_signal,70533,-0.02750608739493701,-0.05183206047238924
f11_restaurant_unit_economics,3rd_derivatives_001_150,f11rue_f11_restaurant_unit_economics_ues_w504_10d_jerk_v147_signal,70533,-0.021226768602370785,-0.026247708344596894
f12_rollout_velocity,base_001_075,f12rov_f12_rollout_velocity_rcd_xclose_5d_base_v041_signal,69486,0.012068804656775954,-0.010109526534475746
f12_rollout_velocity,base_001_075,f12rov_f12_rollout_velocity_rcd_sclose_5d_base_v044_signal,69486,0.012193561002939024,-0.010095765808747046
f12_rollout_velocity,base_076_150,f12rov_f12_rollout_velocity_sig_sclose_504d_base_v120_signal,63169,0.039515506703621875,0.06932459074409018
f12_rollout_velocity,base_076_150,f12rov_f12_rollout_velocity_rcdm8_10d_base_v139_signal,69469,0.004422351940693312,0.008278872725429572
f12_rollout_velocity,2nd_derivatives_001_150,f12rov_f12_rollout_velocity_sig_w504_42d_slope_v149_signal,62587,0.0023958517727228463,-0.0126929173103509
f12_rollout_velocity,2nd_derivatives_001_150,f12rov_f12_rollout_velocity_sig_w42_10d_slope_v117_signal,68991,-0.000525165922371136,-0.0013892699013986992
f12_rollout_velocity,3rd_derivatives_001_150,f12rov_f12_rollout_velocity_cap_w42_21d_jerk_v018_signal,68582,-0.010855923431395383,0.004509685916180102
f12_rollout_velocity,3rd_derivatives_001_150,f12rov_f12_rollout_velocity_cap_w63_42d_jerk_v024_signal,69076,0.02845865916371946,0.02031416355335553
f13_auv_growth_proxy,base_001_075,f13auv_f13_auv_growth_proxy_rpp_mclose_378d_base_v035_signal,64122,-0.0006466859205336936,-0.0170326834992647
f13_auv_growth_proxy,base_001_075,f13auv_f13_auv_growth_proxy_auvg_xclose_126d_base_v061_signal,63956,-0.02630886950692811,-0.06384702532655741
f13_auv_growth_proxy,base_076_150,f13auv_f13_auv_growth_proxy_uvt_sclose_5d_base_v084_signal,64029,-0.0016850812209535512,-0.006970732546126477
f13_auv_growth_proxy,base_076_150,f13auv_f13_auv_growth_proxy_uvt_mclose_5d_base_v083_signal,64029,-0.0021479795008153236,-0.006964122104104054
f13_auv_growth_proxy,2nd_derivatives_001_150,f13auv_f13_auv_growth_proxy_auvg_w126_63d_slope_v080_signal,63852,0.022693551023724737,0.02597300496340329
f13_auv_growth_proxy,2nd_derivatives_001_150,f13auv_f13_auv_growth_proxy_uvt_w504_21d_slope_v148_signal,58451,-0.015476904700650876,-0.018751175746167355
f13_auv_growth_proxy,3rd_derivatives_001_150,f13auv_f13_auv_growth_proxy_uvt_w21_63d_jerk_v115_signal,33272,0.03343381959755782,0.035964752686642586
f13_auv_growth_proxy,3rd_derivatives_001_150,f13auv_f13_auv_growth_proxy_auvg_w63_21d_jerk_v073_signal,54959,0.00621843144757909,0.0012023102142781287
f14_restaurant_margin_durability,base_001_075,f14rmd_f14_restaurant_margin_durability_mgs_zclose_21d_base_v050_signal,33632,0.014368686320628005,-0.009510826783660824
f14_restaurant_margin_durability,base_001_075,f14rmd_f14_restaurant_margin_durability_mgs_xclose_10d_base_v045_signal,15641,0.012667132960645708,-0.006850183574393854
f14_restaurant_margin_durability,base_076_150,f14rmd_f14_restaurant_margin_durability_mgs_zclose_504d_base_v078_signal,70205,-0.006299651665156698,-0.01949496368754135
f14_restaurant_margin_durability,base_076_150,f14rmd_f14_restaurant_margin_durability_mdz4_189d_base_v135_signal,70491,-0.008522227841364565,-0.010139436036606721
f14_restaurant_margin_durability,2nd_derivatives_001_150,f14rmd_f14_restaurant_margin_durability_mgs_w378_5d_slope_v091_signal,70359,0.02207407211355241,0.02610218355353878
f14_restaurant_margin_durability,2nd_derivatives_001_150,f14rmd_f14_restaurant_margin_durability_md_w378_42d_slope_v044_signal,70533,0.006656034220436203,0.01491569342574763
f14_restaurant_margin_durability,3rd_derivatives_001_150,f14rmd_f14_restaurant_margin_durability_md_w126_63d_jerk_v030_signal,69072,0.02068990177768171,-0.004950516699903486
f14_restaurant_margin_durability,3rd_derivatives_001_150,f14rmd_f14_restaurant_margin_durability_ds_w126_10d_jerk_v127_signal,70378,-0.010832592601442707,-0.03277266603536024
f15_multi_brand_synergy,base_001_075,f15mbs_f15_multi_brand_synergy_rc_sclose_10d_base_v008_signal,70442,0.006029745155562547,-0.010758007803401007
f15_multi_brand_synergy,base_001_075,f15mbs_f15_multi_brand_synergy_rc_sclose_189d_base_v028_signal,70369,-0.019653446028711035,-0.05143359406859087
f15_multi_brand_synergy,base_076_150,f15mbs_f15_multi_brand_synergy_ss_sclose_252d_base_v112_signal,70364,-0.010088755367929001,-0.0266912692059598
f15_multi_brand_synergy,base_076_150,f15mbs_f15_multi_brand_synergy_ss_sclose_21d_base_v092_signal,33632,-0.007881503204318912,-0.028449519393316587
f15_multi_brand_synergy,2nd_derivatives_001_150,f15mbs_f15_multi_brand_synergy_cs_w21_42d_slope_v064_signal,16953,-0.010452210009093384,-0.006686361790464564
f15_multi_brand_synergy,3rd_derivatives_001_150,f15mbs_f15_multi_brand_synergy_ss_w126_21d_jerk_v128_signal,69382,0.014299366296900583,-0.010882314658615218
f16_ecommerce_gmv_growth,base_001_075,f16egg_f16_ecommerce_gmv_growth_revgrowth_xrev_252d_base_v011_signal,70429,-0.004074243044271724,-0.013828759476292307
f16_ecommerce_gmv_growth,base_001_075,f16egg_f16_ecommerce_gmv_growth_revgrowth_mean21_189d_base_v022_signal,70369,-0.003618359532752982,-0.01451779466928166
f16_ecommerce_gmv_growth,base_076_150,f16egg_f16_ecommerce_gmv_growth_gmv_rmax_10d_base_v133_signal,57619,-0.006114906137196872,-0.038717241470803014
f16_ecommerce_gmv_growth,base_076_150,f16egg_f16_ecommerce_gmv_growth_wcr_range_10d_base_v127_signal,57919,0.0071774422055039195,-0.013113503336811147
f16_ecommerce_gmv_growth,2nd_derivatives_001_150,f16egg_f16_ecommerce_gmv_growth_rg_ema_42d_slope_v141_signal,70533,-0.032464594455801785,-0.026126410550176518
f16_ecommerce_gmv_growth,2nd_derivatives_001_150,f16egg_f16_ecommerce_gmv_growth_gmvscore_smean_378d_slope_v072_signal,57189,-0.08680055631305283,-0.13009931619507925
f16_ecommerce_gmv_growth,3rd_derivatives_001_150,f16egg_f16_ecommerce_gmv_growth_wcrev_xclmean_378d_jerk_v036_signal,57462,0.0037979418642943847,0.028431400756701825
f16_ecommerce_gmv_growth,3rd_derivatives_001_150,f16egg_f16_ecommerce_gmv_growth_rgxwcr_smooth_42d_jerk_v111_signal,56681,0.023138501107012384,0.013428867032034612
f17_ecommerce_take_rate,base_001_075,f17etr_f17_ecommerce_take_rate_truplift_rmean_252d_base_v071_signal,70533,-0.0036559092797418657,0.00953789378839179
f17_ecommerce_take_rate,base_001_075,f17etr_f17_ecommerce_take_rate_trtrend_raw_378d_base_v036_signal,70452,-0.01371121627322101,-0.020776194823145012
f17_ecommerce_take_rate,base_076_150,f17etr_f17_ecommerce_take_rate_tu_range_42d_base_v129_signal,70789,-0.036823529133149555,-0.07016819628075818
f17_ecommerce_take_rate,base_076_150,f17etr_f17_ecommerce_take_rate_tt_ema_10d_base_v121_signal,70533,0.008804163669480943,-0.0027386006773539003
